date,post_type,caption,reach,impressions,likes,comments,shares,saves,profile_visits,new_followers,engagements,engagement_rate_pct
2026-10-08,Carousel,5 ways to wear your favourite piece,3801,5307,174,4,28,7,46,7,213,5.6
2026-10-10,Carousel,How to build a simple wardrobe,2896,3886,200,16,35,23,40,5,274,9.46
2026-10-12,Carousel,Details you might have missed,2206,2634,118,5,10,7,14,1,140,6.35
2026-10-14,Reel,New drop: made for Lagos days,3922,5113,252,9,43,29,36,4,333,8.49
2026-10-16,Reel,A closer look at the details,8492,10333,532,21,91,55,125,18,699,8.23
2026-10-18,Reel,3 ways to style one statement piece,3330,4123,144,10,13,6,38,7,173,5.2
2026-10-20,Carousel,How to build a simple wardrobe,2727,3963,122,4,19,7,19,2,152,5.57
2026-10-22,Reel,What your outfit says before you speak,6172,7323,574,24,38,73,160,32,709,11.49
2026-10-24,Carousel,This week's style guide,3969,5438,192,9,18,12,44,6,231,5.82
2026-10-26,Story,Packing today's orders,1579,2353,44,2,5,5,8,1,56,3.55
2026-10-28,Reel,3 ways to style one statement piece,2548,3825,180,12,28,22,45,8,242,9.5
2026-10-30,Carousel,How to build a simple wardrobe,4630,6470,324,11,53,41,43,8,429,9.27
2026-11-01,Photo,"One piece, three moods",2141,3098,54,4,8,4,6,1,70,3.27
2026-11-03,Reel,New drop: made for Lagos days,4286,6012,215,14,25,25,30,5,279,6.51
2026-11-05,Reel,A closer look at the details,4735,6092,288,24,18,38,67,5,368,7.77
2026-11-07,Reel,3 ways to style one statement piece,6177,7269,303,14,39,13,78,16,369,5.97
2026-11-09,Reel,Behind the scenes at the studio,4265,4946,167,7,18,19,39,5,211,4.95
2026-11-11,Story,New stock just landed,1320,1604,27,1,2,1,5,1,31,2.35
2026-11-13,Photo,Today's look,2538,3876,70,4,7,4,19,2,85,3.35
2026-11-15,Carousel,From sketch to finished piece,2924,3611,120,8,11,15,24,5,154,5.27
2026-11-17,Story,Quick studio update,2152,3143,64,5,9,6,9,1,84,3.9
2026-11-19,Photo,"Made in Lagos, worn everywhere",2567,3769,103,3,6,11,19,2,123,4.79
2026-11-21,Reel,What your outfit says before you speak,3782,5229,189,14,17,16,22,1,236,6.24
2026-11-23,Story,Ask us anything,1665,2314,26,1,4,3,3,1,34,2.04
2026-11-25,Carousel,From sketch to finished piece,2942,4544,113,6,14,12,24,1,145,4.93
